Term,Synonyms,Definition
calcareous,,"impregnated or containing lime or calcium carbonate; stony. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
calcification,,"deposition of calcium carbonate in or on cell walls of the thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
calcified,,"encrusted or impregnated with lime. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
calcite,,"hexagonal, rhombohedral crystals of calcium carbonate in the walls of vegetative cells (fig. 4) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
canaliculate,,"thalli with a channel or groove (e.g., mastocarpus). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cap cell,,"a single cell at the apex of a filament; it often has a unique shape. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
capillary,,"slender, hair-like. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
capitate,,"with a distinct head (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
carotene,,"pigments with oxygen-free, unsaturated hydrocarbons that are fat soluble and reflect yellow, orange, or red light. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
carotenoid,,"a general term for carotenes and xanthophyll pigments, which are long hydrocarbon molecules with terminal benzene rings. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
carotenoids,,"orange-yellow isoprenoid polyene pigments containing carbon and hydrogen, present in phaeoplasts. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
carpogonial branch,,"filament bearing the female gametangium, the carpogonium (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
carpogonium,,"female sexual cell, consisting of a basal portion, the contents of which function as the gamete, and an elongated apical receptive portion, the trichogyne. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
carposporangium,,"sporangium formed by gonimoblast tissue. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
carpospore,,"spore released from carposporangium. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
carposporophyte,,"the diploid, partially parasitic phase attached to the female gametophyte in the triphasic red algae life history; it develops by mitotic divisions of the zygotic nucleus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
carpostome,,"the opening of a cystocarp in some red algae through which its spores are discharged. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
carpotetrasporangium,,"a sporangium that produces 4 spores (carpotetraspores) via meiosis in place of carpospores in most red algae (see gymnogongrus). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
carrageenan,,"a phycocolloid or the sulfated polysaccharide found in the cell walls of some red algae (e.g., chondrus, eucheuma, and hypnea). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cartilaginous,,"with a tough texture rather like cartilage. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
catenate,,"in a series or connected in series. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cauloid,, (source: ).
cell wall,,"non-living rigid structure surrounding the plasma membrane of cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
cellulose,,"linear polysaccharide made up of glucose residues joined by b, 1, 4 linkages. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
central cell,,"a cell of an axial filament in polysiphonous red algae (see axial cell). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cervicorn,,"with branching more or less one-sided or with unequal forks ( e.g., deer-like antler horns). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
chlorophyll,,"fat soluble, green, photosynthetic pigments, consisting of closed tetrapyrrols with magnesium. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
chromist,chromista,"a eukaryotic super group that is probably polyphyletic and treated as a separate kingdom or included in the protista. the group includes all algae with chloroplast containing chlorophylls “a” and “c.” the organelles are surrounded by 4 membranes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
chrysolaminaran,,"the storage product of most chrysophyta, consisting largely of β-1, 3- glucopyranoside units. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
cicatrigenous,,"arising from a scar cell or a basal remnant of a trichoblast. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
clade,,"a group of organisms descended from a common ancestor; also a branch of a cladogram. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cladophoroid,,"similar to the green algal genus cladophora. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
class,,"a taxonomic term describing the category of taxa intermediate between phylum (division) and order. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
clathrate,,"club-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
clavate,,"club-shaped. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
clone,,"a group of individuals formed by vegetative reproduction from a single original parent. coalescent (coalesced). joined or fused together. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coalesce,,"uniting or merging by growing together. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
coalescence,,"fusion of main and lateral axes over a number of segments (e.g. in pterosiphonia). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
coaxial,,"with cells laterally aligned in curving rows (fig.97b) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
coccoid,,"single-celled and rounded. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coenobium,,"a well-defined group of individual cells, usually with a distinct morphology held together by a common mucilage (see colony). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coenocyte,coenocytic,"a multinucleate cell or thallus that lacks cross walls (acellular). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coenocytic,,"large (usually elongate) multinucleate cells, without cross walls in vegetative parts. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
colonial,,"a group of individuals united in a common life, but not forming a single organism. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
colony,,"group of individuals of the same species living together in close proximity, sometimes forming an aggregate structure with organic connections between the individual members. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
columella,,"filamentous, sometimes calcified structure often occurring in the centre of the floor of a tetra/ bisporangial conceptacle (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
combinatio nova,comb. nov.,"latin meaning a ""new combination (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
complanate,,"flattened or branching in one plane (compressed and dilated). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
compressed,,"slightly flattened laterally; elliptical in cross section. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
concatenate,,"linked together like a string of beads (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
concave,,"curving in or hollowed inward. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
concavity,,"depression on thallus or conceptacle surface formerly occupied by an epithallial cell (sem) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
concentric,,"having a common center. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
conceptacle,,"an enclosed chamber opening outwards, which contains reproductive structures (no homology with conceptacles in different algal groups is implied) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
conceptacle primordium,,"a group of meristematic cells from which a conceptacle develops (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
conchocelis,,"a morphological phase in the life history consisting of endolithic filaments; confined to the bangiophycidae. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
conchosporangia,,"the sporangia of the endophytic shell-boring ""conchocelis"" that produces conchospores. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
conchosporangial branch,,"differentiated filament distinguished by colour, shape and branching in which conchospores develop; released conchospores germinate to form the blade/foliose phase. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
conchospore,,"typically a haploid spore produced from the conchocelis stage of bangialean red algae, which develops into a foliose gametophyte. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
confluence,,"where two adjacent thalli meet (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
confluent,,"running together; cf. discrete (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
connate,,"united or fused. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
connecting cell,,"cell that links two structures and usually carries a nucleus, e.g. after fertilization of carpogonium. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
connecting filament,,"in advanced red algae, a filament that transfers the zygote nucleus, or one of its derivatives, from the fertilized carpogonium to a nutritive or auxiliary cell (also known as an ooblast). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
conservation,,"the decision by the international botanical congress that a validly published name shall be used that is contrary to the general rules. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
conspecific,,"belonging to or identical with another taxon. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
constricted,,"narrow regions lying between swollen or larger regions. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
contiguous,,"adjacent; used particularly to denote the proximity of different filaments whose cells are aligned or secondarily joined by fusions or secondary pit connections (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
contorted,,"with branches or axes that are irregular, twisted, or deformed. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
convex,,"rounded outward; like the outside of a sphere. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
convolute,,"partly inrolled from the margin. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
